seed,pop_size,crossover,crossover_prob,mutation,mutation_prob,F1,F2,F3
60,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
60,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
60,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
60,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
60,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
60,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
60,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
60,200,HUX,0.0,BFM,0.01,6.0, 80.0, 6105.298387332064
60,200,HUX,0.0,BFM,0.01,6.0, 82.0, 5899.117767333966
100,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
100,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
100,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
100,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
100,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
100,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
100,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
100,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
90,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
90,200,HUX,0.0,BFM,0.01,6.0, 80.0, 5856.036511415234
90,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
90,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
90,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
90,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
90,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
90,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
80,200,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
80,200,HUX,0.0,IM,0.05,2.0, 134.0, 21536.60069810438
80,200,HUX,0.0,IM,0.05,3.0, 98.0, 9442.890268870551
80,200,HUX,0.0,IM,0.05,2.0, 132.0, 23911.862997881926
80,200,HUX,0.0,IM,0.05,4.0, 86.0, 6830.604633521283
80,200,HUX,0.0,IM,0.05,7.0, 78.0, 5391.678885263456
80,200,HUX,0.0,IM,0.05,5.0, 82.0, 5978.13916086702
80,200,HUX,0.0,IM,0.05,6.0, 82.0, 5899.117767333966
80,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
80,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
80,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
80,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
80,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
80,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
80,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
80,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
60,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
60,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
60,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
60,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
60,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
60,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
60,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
60,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
20,100,UX,0.5,BFM,0.05,6.0, 82.0, 5900.916044556201
20,100,UX,0.5,BFM,0.05,2.0, 140.0, 23634.060564167856
20,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
20,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
20,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
20,100,UX,0.5,BFM,0.05,7.0, 82.0, 5738.80448825047
20,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
20,100,UX,0.5,BFM,0.05,10.0, 78.0, 5439.440344912021
20,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
20,100,UX,0.5,BFM,0.05,8.0, 80.0, 5759.9976820073925
30,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
30,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
30,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
30,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
30,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
30,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
30,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
30,200,HUX,0.0,BFM,0.01,6.0, 80.0, 5756.269093539919
100,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
100,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
100,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
100,100,UX,0.7,BFM,0.1,4.0, 86.0, 6830.604633521283
100,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
100,100,UX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
100,100,UX,0.7,BFM,0.1,7.0, 78.0, 5391.678885263456
100,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
70,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
70,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
70,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
70,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
70,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
70,200,HUX,0.0,BFM,0.01,10.0, 78.0, 5439.440344912021
70,200,HUX,0.0,BFM,0.01,6.0, 80.0, 5856.036511415234
70,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
70,200,HUX,0.0,BFM,0.01,9.0, 78.0, 5451.474201699052
70,200,HUX,0.0,BFM,0.01,8.0, 82.0, 5836.045645757212
70,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
70,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
70,100,UX,0.7,BFM,0.1,8.0, 82.0, 5800.617309690127
70,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
70,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
70,100,UX,0.7,BFM,0.1,4.0, 86.0, 6830.604633521283
70,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
70,100,UX,0.7,BFM,0.1,8.0, 80.0, 5802.42949240352
70,100,UX,0.7,BFM,0.1,10.0, 78.0, 5439.440344912021
70,100,UX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
70,100,UX,0.7,BFM,0.1,9.0, 78.0, 5451.474201699052
90,200,HUX,0.0,BFM,0.1,5.0, 82.0, 5978.13916086702
90,200,HUX,0.0,BFM,0.1,1.0, 196.0, 67880.3635706255
90,200,HUX,0.0,BFM,0.1,2.0, 132.0, 23911.862997881926
90,200,HUX,0.0,BFM,0.1,4.0, 86.0, 6830.604633521283
90,200,HUX,0.0,BFM,0.1,3.0, 98.0, 9442.890268870551
90,200,HUX,0.0,BFM,0.1,2.0, 134.0, 21536.60069810438
90,200,HUX,0.0,BFM,0.1,6.0, 82.0, 5899.117767333966
90,200,HUX,0.0,BFM,0.1,7.0, 78.0, 5391.678885263456
50,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
50,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
50,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
50,200,HUX,0.0,BFM,0.01,2.0, 140.0, 23634.060564167856
50,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
50,200,HUX,0.0,BFM,0.01,6.0, 82.0, 5899.117767333966
50,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
50,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
40,200,HUX,0.0,BFM,0.01,9.0, 78.0, 5451.474201699052
40,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
40,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
40,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
40,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
40,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
40,200,HUX,0.0,BFM,0.01,10.0, 78.0, 5322.706176732497
40,200,HUX,0.0,BFM,0.01,6.0, 82.0, 5899.117767333966
40,200,HUX,0.0,BFM,0.01,8.0, 80.0, 5813.73556714853
40,200,HUX,0.0,BFM,0.01,7.0, 82.0, 5738.80448825047
40,200,HUX,0.0,BFM,0.01,7.0, 80.0, 6118.30072415932
40,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
40,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
40,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
40,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
40,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
40,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
40,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
40,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
40,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
90,100,UX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
90,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
90,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
90,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
90,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
90,100,UX,0.7,BFM,0.1,4.0, 88.0, 7140.984939783078
90,100,UX,0.7,BFM,0.1,7.0, 78.0, 5391.678885263456
90,100,UX,0.7,BFM,0.1,4.0, 86.0, 7191.4970823983895
90,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
20,100,UX,0.7,BFM,0.1,9.0, 78.0, 5824.8513107298495
20,100,UX,0.7,BFM,0.1,10.0, 80.0, 5539.118137170667
20,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
20,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
20,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
20,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
20,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
20,100,UX,0.7,BFM,0.1,7.0, 84.0, 5865.344663776311
20,100,UX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
20,100,UX,0.7,BFM,0.1,8.0, 80.0, 5708.876870568084
20,100,UX,0.7,BFM,0.1,4.0, 86.0, 6830.604633521283
10,200,HUX,0.0,BFM,0.1,1.0, 196.0, 67880.3635706255
10,200,HUX,0.0,BFM,0.1,2.0, 134.0, 21536.60069810438
10,200,HUX,0.0,BFM,0.1,2.0, 132.0, 23911.862997881926
10,200,HUX,0.0,BFM,0.1,3.0, 98.0, 9442.890268870551
10,200,HUX,0.0,BFM,0.1,4.0, 86.0, 6830.604633521283
10,200,HUX,0.0,BFM,0.1,9.0, 78.0, 5451.474201699052
10,200,HUX,0.0,BFM,0.1,6.0, 82.0, 5899.117767333966
10,200,HUX,0.0,BFM,0.1,5.0, 82.0, 5978.13916086702
10,200,HUX,0.0,BFM,0.1,7.0, 78.0, 5855.094163995039
10,200,HUX,0.0,BFM,0.1,10.0, 78.0, 5439.440344912021
10,200,HUX,0.0,BFM,0.1,8.0, 80.0, 5802.42949240352
10,200,HUX,0.0,BFM,0.1,8.0, 82.0, 5800.617309690127
30,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
30,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
30,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
30,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
30,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
30,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
30,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
30,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
70,100,UX,0.5,BFM,0.05,9.0, 80.0, 5701.026211072847
70,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
70,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
70,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
70,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
70,100,UX,0.5,BFM,0.05,8.0, 82.0, 5800.617309690127
70,100,UX,0.5,BFM,0.05,6.0, 82.0, 5900.916044556201
70,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
70,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
30,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
30,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
30,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
30,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
30,100,UX,0.7,BFM,0.1,4.0, 86.0, 6830.604633521283
30,100,UX,0.7,BFM,0.1,7.0, 78.0, 5391.678885263456
30,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
30,100,UX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
80,200,HUX,0.0,BFM,0.1,2.0, 132.0, 23911.862997881926
80,200,HUX,0.0,BFM,0.1,1.0, 196.0, 67880.3635706255
80,200,HUX,0.0,BFM,0.1,2.0, 134.0, 21536.60069810438
80,200,HUX,0.0,BFM,0.1,3.0, 98.0, 9442.890268870551
80,200,HUX,0.0,BFM,0.1,5.0, 82.0, 5978.13916086702
80,200,HUX,0.0,BFM,0.1,8.0, 78.0, 5489.120218544684
80,200,HUX,0.0,BFM,0.1,7.0, 78.0, 5855.094163995039
80,200,HUX,0.0,BFM,0.1,4.0, 86.0, 6830.604633521283
80,200,HUX,0.0,BFM,0.1,6.0, 82.0, 5899.117767333966
80,200,HUX,0.0,BFM,0.1,7.0, 82.0, 5759.927456665535
100,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
100,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
100,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
100,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
100,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
100,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
100,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
100,200,HUX,0.0,BFM,0.01,6.0, 80.0, 5756.269093539919
50,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
50,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
50,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
50,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
50,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
50,100,UX,0.7,BFM,0.1,10.0, 78.0, 5322.706176732497
50,100,UX,0.7,BFM,0.1,4.0, 86.0, 6830.604633521283
50,100,UX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
50,100,UX,0.7,BFM,0.1,7.0, 78.0, 5391.678885263456
100,200,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
100,200,HUX,0.0,IM,0.05,2.0, 134.0, 21536.60069810438
100,200,HUX,0.0,IM,0.05,2.0, 132.0, 23911.862997881926
100,200,HUX,0.0,IM,0.05,3.0, 98.0, 9442.890268870551
